Designator,Mid X,Mid Y,Rotation,Layer
_1358,100.28,129.032,0.0,top
_1357,161.24,78.232,0.0,top
_1356,156.16,108.712,0.0,top
_1355,92.66,96.012,0.0,top
_1354,161.24,136.652,0.0,top
_1353,156.16,73.152,0.0,top
_1352,79.96,62.992,0.0,top
_1351,82.5,151.892,0.0,top
_1350,153.62,144.272,0.0,top
_1349,179.02,108.712,0.0,top
_1348,107.9,98.552,0.0,top
_1347,153.62,70.612,0.0,top
_1346,97.74,98.552,0.0,top
_1345,82.5,93.472,0.0,top
_1344,79.96,139.192,0.0,top
_1343,74.88,106.172,0.0,top
_1342,90.12,60.452,0.0,top
_1341,85.04,146.812,0.0,top
_1340,97.74,141.732,0.0,top
_1339,90.12,101.092,0.0,top
_1338,69.8,154.432,0.0,top
_1337,118.06,60.452,0.0,top
_1336,138.38,108.712,0.0,top
_1335,130.76,134.112,0.0,top
_1334,135.84,60.452,0.0,top
_1333,115.52,136.652,0.0,top
_1332,158.7,101.092,0.0,top
_1331,138.38,55.372,0.0,top
_1330,153.62,116.332,0.0,top
_1329,69.8,60.452,0.0,top
_1328,74.88,131.572,0.0,top
_1327,110.44,111.252,0.0,top
_1326,110.44,154.432,0.0,top
_1325,97.74,55.372,0.0,top
_1324,100.28,55.372,0.0,top
_1323,181.56,134.112,0.0,top
_1322,133.3,78.232,0.0,top
_1321,179.02,146.812,0.0,top
_1320,69.8,113.792,0.0,top
_1319,102.82,93.472,0.0,top
_1318,171.4,151.892,0.0,top
_1317,135.84,88.392,0.0,top
_1316,72.34,131.572,0.0,top
_1315,77.42,62.992,0.0,top
_1314,166.32,52.832,0.0,top
_1313,153.62,121.412,0.0,top
_1312,138.38,139.192,0.0,top
_1311,140.92,146.812,0.0,top
_1310,125.68,45.212,0.0,top
_1309,77.42,98.552,0.0,top
_1308,105.36,68.072,0.0,top
_1307,128.22,70.612,0.0,top
_1306,173.94,106.172,0.0,top
_1305,92.66,90.932,0.0,top
_1304,179.02,123.952,0.0,top
_1303,130.76,129.032,0.0,top
_1302,120.6,55.372,0.0,top
_1301,125.68,151.892,0.0,top
_1300,161.24,113.792,0.0,top
_1299,143.46,80.772,0.0,top
_1298,146.0,113.792,0.0,top
